instance,n_stations,run_time
instance_n=100_285.alb,63,3.8947579860687256
instance_n=100_91.alb,27,4.52881646156311
instance_n=100_168.alb,22,2.8453657627105713
instance_n=100_71.alb,59,2.9993531703948975
instance_n=100_54.alb,56,3.2644927501678467
instance_n=100_10.alb,22,0.18788862228393555
instance_n=100_260.alb,15,3.4843130111694336
instance_n=100_127.alb,60,4.150573253631592
instance_n=100_43.alb,15,2.541022300720215
instance_n=100_430.alb,63,4.302675008773804
instance_n=100_441.alb,62,4.7935168743133545
instance_n=100_195.alb,15,2.9456536769866943
instance_n=100_225.alb,62,2.868034601211548
instance_n=100_439.alb,62,4.97346830368042
instance_n=100_21.alb,22,3.102832317352295
instance_n=100_203.alb,60,3.0814878940582275
instance_n=100_498.alb,14,4.996201515197754
instance_n=100_165.alb,26,2.873872995376587
instance_n=100_57.alb,61,2.792858123779297
instance_n=100_125.alb,14,3.7672417163848877
instance_n=100_93.alb,30,4.061145544052124
instance_n=100_122.alb,13,4.18888783454895
instance_n=100_413.alb,14,3.99418306350708
instance_n=100_182.alb,15,3.213348388671875
instance_n=100_290.alb,63,3.887908697128296
instance_n=100_105.alb,13,5.154493093490601
instance_n=100_451.alb,27,5.3473286628723145
instance_n=100_300.alb,63,4.648434400558472
instance_n=100_27.alb,14,2.7201855182647705
instance_n=100_116.alb,17,4.948354959487915
instance_n=100_319.alb,25,3.0216567516326904
instance_n=100_144.alb,55,4.486987352371216
instance_n=100_337.alb,14,3.013418197631836
instance_n=100_240.alb,24,3.814474105834961
instance_n=100_297.alb,70,3.9432356357574463
instance_n=100_191.alb,14,2.6873366832733154
instance_n=100_327.alb,15,2.9173083305358887
instance_n=100_89.alb,26,4.564382791519165
instance_n=100_106.alb,14,4.146178722381592
instance_n=100_44.alb,14,2.735532760620117
instance_n=100_351.alb,67,3.282609462738037
instance_n=100_356.alb,67,3.520752429962158
instance_n=100_440.alb,60,4.718174934387207
instance_n=100_427.alb,63,4.489947319030762
instance_n=100_322.alb,24,2.6966145038604736
instance_n=100_408.alb,14,4.414968490600586
instance_n=100_68.alb,59,3.0411014556884766
instance_n=100_398.alb,26,5.172265529632568
instance_n=100_490.alb,15,5.188488483428955
instance_n=100_491.alb,16,5.247009754180908
instance_n=100_326.alb,13,2.847585916519165
instance_n=100_249.alb,23,3.9433674812316895
instance_n=100_64.alb,66,3.2095823287963867
instance_n=100_36.alb,15,2.9660379886627197
instance_n=100_286.alb,66,3.8565499782562256
instance_n=100_103.alb,14,4.46143364906311
instance_n=100_393.alb,24,4.614892959594727
instance_n=100_303.alb,26,2.873404026031494
instance_n=100_246.alb,27,5.033568859100342
instance_n=100_390.alb,25,4.068154335021973
instance_n=100_358.alb,59,3.0731077194213867
instance_n=100_62.alb,59,2.940971851348877
instance_n=100_261.alb,14,3.4482061862945557
instance_n=100_52.alb,66,3.213648557662964
instance_n=100_272.alb,14,3.913372278213501
instance_n=100_525.alb,65,5.620366334915161
instance_n=100_11.alb,25,2.8185558319091797
instance_n=100_63.alb,67,2.80271577835083
instance_n=100_364.alb,62,3.4135708808898926
instance_n=100_464.alb,27,4.799943208694458
instance_n=100_226.alb,26,3.6214396953582764
instance_n=100_26.alb,15,2.355743169784546
instance_n=100_450.alb,62,4.4123101234436035
instance_n=100_227.alb,29,3.4862430095672607
instance_n=100_104.alb,14,3.961489677429199
instance_n=100_507.alb,64,6.016314744949341
instance_n=100_50.alb,14,2.8299875259399414
instance_n=100_8.alb,25,2.687587261199951
instance_n=100_129.alb,61,4.6233227252960205
instance_n=100_395.alb,25,4.226178407669067
instance_n=100_486.alb,15,5.1585211753845215
instance_n=100_458.alb,26,5.410282373428345
instance_n=100_158.alb,23,2.680058240890503
instance_n=100_120.alb,14,4.299710512161255
